titolo_opera_iteatrire,opera_id,wikidata_uri_iteatrire,persona_nome,persona_id
Mamma Mia!,72982,https://www.wikidata.org/wiki/Q686861,"Ulvaeus, Björn",29175
The Little Sweep,72994,https://www.wikidata.org/wiki/Q467698,"Britten, Benjamin",31624
The Little Sweep,72994,https://www.wikidata.org/wiki/Q467698,"Crozier, Eric",9704
organization established by the United Nations,72998,https://www.wikidata.org/wiki/Q15285626,"Couperin, Francois",12532
silent short film,73016,https://www.wikidata.org/wiki/Q20667187,"Marangoni, Gabriele",29374
The Seven Deadly Sins,73018,https://www.wikidata.org/wiki/Q533623,"Veretti, Antonio",19950
Allez-Hop,73019,https://www.wikidata.org/wiki/Q31885096,"Berio, Luciano",10081
area,73023,https://www.wikidata.org/wiki/Q11500,"Pratt, Ryan",29436
Torneo notturno,73026,https://www.wikidata.org/wiki/Q7826113,"Roccato, Daniele",28137
Song of the Celts,73027,https://www.wikidata.org/wiki/Q7561152,"Guidi, Giovanni",28979
Quartetto per archi op. 4 n. 1,73058,https://www.wikidata.org/wiki/Q3927149,"Malipiero, Gianfrancesco",10978
Batuque,73136,https://www.wikidata.org/wiki/Q504296,"Fernandez, Oscar Lorenzo",23833
swarf,73163,https://www.wikidata.org/wiki/Q1225294,"Skalkottas, Nikolaos",32254
Sinfonia Educational Foundation,73185,https://www.wikidata.org/wiki/Q7522539,"Bruckner, Anton",10221
The Addams Family,73187,https://www.wikidata.org/wiki/Q2253601,"Lippa, Andrew",32397
The Addams Family,73187,https://www.wikidata.org/wiki/Q2253601,"Brickman, Marshall",29186
The Addams Family,73187,https://www.wikidata.org/wiki/Q2253601,"Elice, Rick",29187
The Addams Family,73187,https://www.wikidata.org/wiki/Q2253601,"Addams, Charles",32398
"Kiss Me, Kate",73189,https://www.wikidata.org/wiki/Q1330969,"Porter, Cole",10309
"Kiss Me, Kate",73189,https://www.wikidata.org/wiki/Q1330969,"Spewack, Sam",32440
"Kiss Me, Kate",73189,https://www.wikidata.org/wiki/Q1330969,"Spewack, Bella",32441
"Kiss Me, Kate",73189,https://www.wikidata.org/wiki/Q1330969,"Shakespeare, William",10325
Grazer Galopp,73190,https://www.wikidata.org/wiki/Q124261003,"Schubert, Franz",9872
Partitas for solo violin,73194,https://www.wikidata.org/wiki/Q3366963,"Paik, Nam June",32537
Broadway Blues,73197,https://www.wikidata.org/wiki/Q131765209,"Coleman, Ornette",12746
Aquarelas,73201,https://www.wikidata.org/wiki/Q110896465,"Pecci Filho, Antonio",32554
monochrome painting,73204,https://www.wikidata.org/wiki/Q846561,"Azzan, Maurizio",32555
creep,73209,https://www.wikidata.org/wiki/Q462188,Radiohead,18262
Running Out of Time,73210,https://www.wikidata.org/wiki/Q116783739,"Montalbetti, Mauro",25846
greenhouse gas,73211,https://www.wikidata.org/wiki/Q167336,"Buarque, Chico",32558
supercontinent,73217,https://www.wikidata.org/wiki/Q55833,"Anderson, Laurie",13818
children's music school,73224,https://www.wikidata.org/wiki/Q55008603,"Prokof'ev, Sergej",9627
Begone Dull Care,73225,https://www.wikidata.org/wiki/Q124661404,"Britten, Benjamin",31624
Tragic Story of a Factory Girl,73227,https://www.wikidata.org/wiki/Q11446422,"Britten, Benjamin",31624
cuckoo clock,73228,https://www.wikidata.org/wiki/Q155518,"Britten, Benjamin",31624
spacecraft,73229,https://www.wikidata.org/wiki/Q40218,"Britten, Benjamin",31624
The Golden Vanity,73230,https://www.wikidata.org/wiki/Q25217520,"Britten, Benjamin",31624
Square and Circle Club,73237,https://www.wikidata.org/wiki/Q106688946,"Janulyte, Juste",32735
sabotage,73238,https://www.wikidata.org/wiki/Q193518,"Troiani, Lorenzo",32736
The Seven Deadly Sins,73241,https://www.wikidata.org/wiki/Q533623,"Cenci, Stefano",10338
The Seven Deadly Sins,73241,https://www.wikidata.org/wiki/Q533623,"Pagliarini, Luigi",10428
The Seven Deadly Sins,73241,https://www.wikidata.org/wiki/Q533623,"Weill, Kurt",10367
The Seven Deadly Sins,73241,https://www.wikidata.org/wiki/Q533623,"Brecht, Bertolt",31623
Quartetto per archi op. 4 n. 1,73245,https://www.wikidata.org/wiki/Q3927149,"Haas, Georg Friedrich",32817
rust,73247,https://www.wikidata.org/wiki/Q184197,"Baldi, Zeno",32835
fermented tea,73250,https://www.wikidata.org/wiki/Q2542583,"Fanticini, Fabrizio",32877
continuum,73252,https://www.wikidata.org/wiki/Q1129025,"Bigliardi, Anna",10981
episode,73253,https://www.wikidata.org/wiki/Q1983062,"Cattaneo, Pier Alberto",32878
Tango,73254,https://www.wikidata.org/wiki/Q4346256,"Stravinskij, Igor'",9640
Roundsman System,73257,https://www.wikidata.org/wiki/Q7371263,"Berio, Luciano",10081
periodicity,73258,https://www.wikidata.org/wiki/Q443564,"Lombardi, Luca",23802
Songbook,73264,https://www.wikidata.org/wiki/Q7561236,"Franceschini, Matteo",28071
The Witchfire Trilogy Book Two: Shadow of the Exile,73265,https://www.wikidata.org/wiki/Q134429128,"Liberovici, Andrea",12836
birth control,73266,https://www.wikidata.org/wiki/Q122224,"Stockhausen, Karlheinz",9976
cross,73275,https://www.wikidata.org/wiki/Q40843,"Gubaidulina, Sofia",11357
towel,73299,https://www.wikidata.org/wiki/Q131696,"Marangoni, Gabriele",29374
top-to-bottom,73318,https://www.wikidata.org/wiki/Q17321917,"Costantini, Giacomo",33309
top-to-bottom,73318,https://www.wikidata.org/wiki/Q17321917,"Nova, Riccardo",12157
simple aromatic ring,73325,https://www.wikidata.org/wiki/Q716833,"Riley, Terry",11381
School of Rock,73331,https://www.wikidata.org/wiki/Q18758174,"Slater, Glenn",28799
School of Rock,73331,https://www.wikidata.org/wiki/Q18758174,"Lloyd Webber, Andrew",15385
School of Rock,73331,https://www.wikidata.org/wiki/Q18758174,"Fellowes, Julian",33384
Thaïs,73337,https://www.wikidata.org/wiki/Q1144467,"Massenet, Jules",9612
Thaïs,73337,https://www.wikidata.org/wiki/Q1144467,"Gallet, Louis",9699
occidental astrological sign,73366,https://www.wikidata.org/wiki/Q1795024,"Stockhausen, Karlheinz",9976
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Filidei, Francesco",23081
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Sarto, Andrea",26261
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Venturini, Franco",26262
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Azzan, Maurizio",32555
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Ghisi, Daniele",33504
human capital flight,73369,https://www.wikidata.org/wiki/Q190222,"Momi, Marco",33545
prefecture of Greece,73383,https://www.wikidata.org/wiki/Q202595,"Bonazzo, Antonio",33555
prefecture of Greece,73383,https://www.wikidata.org/wiki/Q202595,"Capuzzo, Maura",33556
prefecture of Greece,73383,https://www.wikidata.org/wiki/Q202595,"Lanza, Sergio",33557
prefecture of Greece,73383,https://www.wikidata.org/wiki/Q202595,"Saldicco, Cesare",33558
prefecture of Greece,73383,https://www.wikidata.org/wiki/Q202595,"Vetrano, Roberto",33559
Angel wings,73394,https://www.wikidata.org/wiki/Q35056,"Battistelli, Giorgio",11067
Angel wings,73394,https://www.wikidata.org/wiki/Q35056,"Artaud, Antonin",22753
Radia tapes controversy,73418,https://www.wikidata.org/wiki/Q7280254,"Centazzo, Andrea",12267
Manteca colorá,73420,https://www.wikidata.org/wiki/Q6752009,"Centazzo, Andrea",12267
L'aquila e le colombe,73421,https://www.wikidata.org/wiki/Q109244515,"Centazzo, Andrea",12267
Missionary Impossible,73425,https://www.wikidata.org/wiki/Q134044921,"Centazzo, Andrea",12267
A Life for the Tsar,73430,https://www.wikidata.org/wiki/Q94737,"Glinka, Mikhail",9600
A Life for the Tsar,73430,https://www.wikidata.org/wiki/Q94737,"Rozen, Egor",34043
Nero,73431,https://www.wikidata.org/wiki/Q7071449,"Rubinštein, Anton",9925
Nero,73431,https://www.wikidata.org/wiki/Q7071449,"Barbier, Jules",9796
Il ballo delle ingrate,73450,https://www.wikidata.org/wiki/Q5996683,"Monteverdi, Claudio",9617
Il ballo delle ingrate,73450,https://www.wikidata.org/wiki/Q5996683,"Rinuccini, Ottavio",9843
pathogen transmission,73453,https://www.wikidata.org/wiki/Q525512,"Zavalloni, Cristina",17091
pathogen transmission,73453,https://www.wikidata.org/wiki/Q525512,"Bang, Jan",34254
organism,73456,https://www.wikidata.org/wiki/Q7239,"Bang, Jan",34254
radiance,73459,https://www.wikidata.org/wiki/Q1411145,"Arcelli, Cristiano",34251
Quartetto per archi op. 4 n. 1,73465,https://www.wikidata.org/wiki/Q3927149,"Katzer, Georg",32632
piano repertoire,73476,https://www.wikidata.org/wiki/Q7190204,"Ferrari, Maurizio",23080
solstice,73491,https://www.wikidata.org/wiki/Q123524,"Haas, Georg Friedrich",32817
repertoire,73492,https://www.wikidata.org/wiki/Q63525289,"Kagel, Mauricio",10996
lipstick,73495,https://www.wikidata.org/wiki/Q184191,Jacob TV,27787
greeting,73496,https://www.wikidata.org/wiki/Q45594,"Schubert, Alexander",34418
caravanserai,73498,https://www.wikidata.org/wiki/Q186347,"Beil, Michael",34419
Inferno,73508,https://www.wikidata.org/wiki/Q3150718,"De Rossi Re, Fabrizio",34469
Inferno,73508,https://www.wikidata.org/wiki/Q3150718,"Alighieri, Dante",11159
Paradiso,73510,https://www.wikidata.org/wiki/Q28229045,"Solbiati, Alessandro",34470
Paradiso,73510,https://www.wikidata.org/wiki/Q28229045,"Alighieri, Dante",11159
memory box,73512,https://www.wikidata.org/wiki/Q6815705,"Montalti, Vittorio",28923
part of a work,73515,https://www.wikidata.org/wiki/Q88392887,Anonimo medioevale,15973
unlimited atonement,73516,https://www.wikidata.org/wiki/Q10278710,"Franceschini, Matteo",28071
ASYCUDA,73517,https://www.wikidata.org/wiki/Q787129,"De André, Fabrizio",12797
Children's Corner,73534,https://www.wikidata.org/wiki/Q16633799,"Debussy, Claude",9594
La vida breve,73547,https://www.wikidata.org/wiki/Q733839,"De Falla, Manuel",20715
La vida breve,73547,https://www.wikidata.org/wiki/Q733839,"Shaw, Carlos Fernández",35015
sediment,73562,https://www.wikidata.org/wiki/Q180184,"Lorusso, Giulia",33507
Terzo concerto per orchestra,73572,https://www.wikidata.org/wiki/Q63527024,"Lutoslawski, Witold",11173
Versa est in luctum,73576,https://www.wikidata.org/wiki/Q11900999,"Lobo, Alonso",35233
mass for the dead,73578,https://www.wikidata.org/wiki/Q51616,"Victoria, Tomás Luis de",12398
The Turn of the Screw,73582,https://www.wikidata.org/wiki/Q464606,"Britten, Benjamin",31624
The Turn of the Screw,73582,https://www.wikidata.org/wiki/Q464606,"Piper, Myfanwy",35600
The Turn of the Screw,73582,https://www.wikidata.org/wiki/Q464606,"James, Henry",35601
We Will Rock You,73594,https://www.wikidata.org/wiki/Q1051695,"Elton, Ben",35677
Everybody’s Talking About Jamie,73595,https://www.wikidata.org/wiki/Q29831984,"Butterell, Jonathan",35699
Everybody’s Talking About Jamie,73595,https://www.wikidata.org/wiki/Q29831984,"Sells, Dan Gillespie",35697
Everybody’s Talking About Jamie,73595,https://www.wikidata.org/wiki/Q29831984,"Macrae, Tom",35698
The Jungle Book and Scouting,73596,https://www.wikidata.org/wiki/Q2198344,"Sollima, Giovanni",16841
The Jungle Book and Scouting,73596,https://www.wikidata.org/wiki/Q2198344,"Maestrini, Pierfrancesco",16847
The Magic Flute,73597,https://www.wikidata.org/wiki/Q5064,"Mozart, Wolfgang Amadeus",9618
apology,73624,https://www.wikidata.org/wiki/Q13197791,"Bussotti, Sylvano",10959
Speakon connector,73635,https://www.wikidata.org/wiki/Q776979,"Banti, Agnese",33278
Clasificarea Regnului Protozoa după Systema Naturae 2000,73636,https://www.wikidata.org/wiki/Q12724155,"Lanza, Mauro",23084
Clasificarea Regnului Protozoa după Systema Naturae 2000,73636,https://www.wikidata.org/wiki/Q12724155,"Valle, Andrea",36070
lighthouse,73656,https://www.wikidata.org/wiki/Q39715,"Bedford, David",36109
Jules Verne,73662,https://www.wikidata.org/wiki/Q109243833,"Battistelli, Giorgio",11067
The Seven Deadly Sins,73667,https://www.wikidata.org/wiki/Q533623,"Weill, Kurt",10367
The Seven Deadly Sins,73667,https://www.wikidata.org/wiki/Q533623,"Brecht, Bertolt",31623
Triodion Period,73668,https://www.wikidata.org/wiki/Q16681154,"Pärt, Arvo",10276
magnification,73670,https://www.wikidata.org/wiki/Q675287,"Pärt, Arvo",10276
...which was the son of,73672,https://www.wikidata.org/wiki/Q16418959,"Pärt, Arvo",10276
Mother Church,73676,https://www.wikidata.org/wiki/Q3674425,"Von Bingen, Hildegard",34471
"Alfred, Alfred",73677,https://www.wikidata.org/wiki/Q109242852,"Donatoni, Franco",10977
witchcraft,73680,https://www.wikidata.org/wiki/Q259745,"Beddini, Eleonora",27616
witchcraft,73680,https://www.wikidata.org/wiki/Q259745,"Vergassola, Dario",36315
Quartetto d'archi di Venezia,73683,https://www.wikidata.org/wiki/Q3927125,"Tailleferre, Germaine",36331
Quartetto per archi op. 4 n. 1,73694,https://www.wikidata.org/wiki/Q3927149,"Widmann, Jörg",25853
Der Schauspieldirektor,73719,https://www.wikidata.org/wiki/Q471810,"Mozart, Wolfgang Amadeus",9618
Der Schauspieldirektor,73719,https://www.wikidata.org/wiki/Q471810,"Stephanie, Johann Gottlob",9851
I quatro rusteghi,86937,https://www.wikidata.org/wiki/Q3791201,"Wolf-Ferrari, Ermanno",9643
I quatro rusteghi,86937,https://www.wikidata.org/wiki/Q3791201,"Pizzolato, Giuseppe",11069
I quatro rusteghi,86937,https://www.wikidata.org/wiki/Q3791201,"Goldoni, Carlo",9777
Fifth Sunday of Easter.,87757,https://www.wikidata.org/wiki/Q4165972,"Hassler, Hans Leo",23780
Sherlock Holmes television program,88158,https://www.wikidata.org/wiki/Q121438691,"Cecchi, Andrea",88149
Sherlock Holmes television program,88158,https://www.wikidata.org/wiki/Q121438691,"Solito, Enrico",88151
Sherlock Holmes television program,88158,https://www.wikidata.org/wiki/Q121438691,"Fusi, Alessio",88150
Sherlock Holmes television program,88158,https://www.wikidata.org/wiki/Q121438691,"Sardi, Andrea",88152
Tootsie,88187,https://www.wikidata.org/wiki/Q55636030,"Yazbek, David",27168
Tootsie,88187,https://www.wikidata.org/wiki/Q55636030,"Horn, Robert",88186
inner product space,88341,https://www.wikidata.org/wiki/Q214159,"ElSaffar, Amir",34430
inner product space,88341,https://www.wikidata.org/wiki/Q214159,"Bianchi Hoesch, Lorenzo",34680
The Tempest,88447,https://www.wikidata.org/wiki/Q7768334,"Purcell, Henry",9629
The Tempest,88447,https://www.wikidata.org/wiki/Q7768334,"Shadwell, Thomas",88448
The Tempest,88447,https://www.wikidata.org/wiki/Q7768334,"Shakespeare, William",10325
inner tube,88470,https://www.wikidata.org/wiki/Q2141634,"Faoro, Laura",33017
inner tube,88470,https://www.wikidata.org/wiki/Q2141634,"Pagliei, Lorenzo",28933
